"Sleep HRV — 2026-09-10 to 2026-09-16
========================
Note: dates are wake-up days (each value comes from the night that ended that morning).

HRV Assessment — Last 7 days
========================

2026-09-16:
  HRV Avg: 41 ms — Above normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-15:
  HRV Avg: 37 ms — Normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-14:
  HRV Avg: 34 ms — Normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-13:
  HRV Avg: 29 ms — Below normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-12:
  HRV Avg: 36 ms — Normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-11:
  HRV Avg: 35 ms — Normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-10:
  HRV Avg: 39 ms — Normal
  Normal Range: 29 - 39 ms
  Baseline: 34 ms

Sleep HRV Time Series — Last 7 days
========================

2026-09-10:
  timestamp=1788988190, timezone=12, hrv=41 ms, status=0, confidence=100
  timestamp=1788988790, timezone=12, hrv=73 ms, status=0, confidence=96
  timestamp=1788989390, timezone=12, hrv=42 ms, status=0, confidence=100
  timestamp=1788989990, timezone=12, hrv=82 ms, status=0, confidence=96
  timestamp=1788990590, timezone=12, hrv=28 ms, status=0, confidence=100
  timestamp=1788991490, timezone=12, hrv=49 ms, status=0, confidence=100
  timestamp=1788992090, timezone=12, hrv=25 ms, status=0, confidence=100
  timestamp=1788992690, timezone=12, hrv=14 ms, status=0, confidence=100
  timestamp=1788993290, timezone=12, hrv=47 ms, status=0, confidence=100
  timestamp=1788993890, timezone=12, hrv=38 ms, status=0, confidence=100
  timestamp=1788994490, timezone=12, hrv=44 ms, status=0, confidence=100
  timestamp=1788995090, timezone=12, hrv=34 ms, status=0, confidence=100
  timestamp=1788995990, timezone=12, hrv=25 ms, status=0, confidence=100
  timestamp=1788996590, timezone=12, hrv=28 ms, status=0, confidence=100
  timestamp=1788997190, timezone=12, hrv=21 ms, status=0, confidence=100
  timestamp=1788997790, timezone=12, hrv=66 ms, status=0, confidence=89
  timestamp=1788998390, timezone=12, hrv=57 ms, status=0, confidence=86
  timestamp=1788998990, timezone=12, hrv=35 ms, status=0, confidence=100
  timestamp=1788999890, timezone=12, hrv=36 ms, status=0, confidence=100
  timestamp=1789000490, timezone=12, hrv=23 ms, status=0, confidence=100
  timestamp=1789001090, timezone=12, hrv=32 ms, status=0, confidence=100
  timestamp=1789001690, timezone=12, hrv=38 ms, status=0, confidence=100
  timestamp=1789002290, timezone=12, hrv=32 ms, status=0, confidence=100
  timestamp=1789002890, timezone=12, hrv=30 ms, status=0, confidence=100
  timestamp=1789003490, timezone=12, hrv=70 ms, status=0, confidence=97
  timestamp=1789004390, timezone=12, hrv=57 ms, status=0, confidence=96
  timestamp=1789004990, timezone=12, hrv=32 ms, status=0, confidence=100
  timestamp=1789005590, timezone=12, hrv=42 ms, status=0, confidence=100
  timestamp=1789006190, timezone=12, hrv=36 ms, status=0, confidence=100
  timestamp=1789006790, timezone=12, hrv=22 ms, status=0, confidence=100
  timestamp=1789007390, timezone=12, hrv=33 ms, status=0, confidence=100
  timestamp=1789008890, timezone=12, hrv=26 ms, status=0, confidence=100
  timestamp=1789009490, timezone=12, hrv=25 ms, status=0, confidence=100
